iteration,loss,ema_loss,lr,grad_norm,phi_norm,trace_q_mean,trace_q_std,eta_mean,eta_std,s0_min,s0_max,s0_mean,sT_min,sT_max,sT_mean,Q_norm,time
200,6.890120983123779,6.99045185717997,8e-05,2.5124453427710827,0.6028056740760803,4.253729820251465,0.16817478835582733,-0.15114742517471313,0.01609935238957405,-1.6963412761688232,3.0762314796447754,0.5063864588737488,-0.1916949450969696,1.1958165168762207,0.5022218823432922,2.5979514122009277,2.5231661796569824
400,6.440178871154785,6.437266183215975,0.00016,0.4394746627812557,0.9336482882499695,3.8619441986083984,0.3570702373981476,-1.1196608543395996,0.05447276309132576,-1.9656541347503662,2.9018917083740234,0.4989054799079895,-0.18641991913318634,1.1741644144058228,0.49706920981407166,0.8628232479095459,4.501267194747925
600,6.329039096832275,6.2227213251585916,0.00024,0.5639255128018247,1.0490972995758057,4.158052444458008,0.3478831648826599,-1.8988456726074219,0.005441739223897457,-1.8190364837646484,3.064521074295044,0.5025392770767212,-0.1722179651260376,1.2076232433319092,0.502751350402832,0.6669516563415527,6.447991371154785
800,5.869965553283691,5.839498087379911,0.00032,1.1307947360456674,1.1866244077682495,2.830040454864502,0.6994550228118896,-1.9238288402557373,0.02047681249678135,-1.9586848020553589,2.7623701095581055,0.4975014626979828,-0.18965671956539154,1.1783220767974854,0.501658022403717,0.9032562971115112,8.430528402328491
1000,5.4437689781188965,5.4953323883333915,0.0004,1.6992642455066536,1.281569480895996,1.2252655029296875,0.6831670999526978,-1.6977381706237793,0.29301220178604126,-1.9097743034362793,3.2368693351745605,0.5039976239204407,-0.18694527447223663,1.1990269422531128,0.5005686283111572,1.6661587953567505,10.410189151763916
1200,5.3425116539001465,5.378493941707961,0.00048,1.5816448427059948,1.3413360118865967,0.6440519094467163,0.7115291953086853,-1.7051701545715332,0.27643105387687683,-1.6871942281723022,2.8948733806610107,0.5039017200469971,-0.17770951986312866,1.1949750185012817,0.49883243441581726,1.8980276584625244,12.43311333656311
1400,5.201528072357178,5.201221692068343,0.0005600000000000001,1.8511873899965483,1.431711196899414,-0.20834621787071228,0.7504584789276123,-1.7053484916687012,0.2994203269481659,-2.0223464965820312,2.9123969078063965,0.49701404571533203,-0.18204443156719208,1.1735810041427612,0.49575141072273254,2.0474209785461426,14.437129020690918
1600,5.001859188079834,5.009803180556316,0.00064,1.4639272993585866,1.4952080249786377,-1.2112090587615967,0.8316124081611633,-1.7151508331298828,0.2689899206161499,-1.843757152557373,2.9966747760772705,0.5002812147140503,-0.2002689689397812,1.1922309398651123,0.5011240839958191,2.214327096939087,16.451961278915405
1800,4.836845397949219,4.8638138083977775,0.0007199999999999999,1.6077896939822571,1.4900398254394531,-1.9702181816101074,0.7716428637504578,-1.705085039138794,0.27719220519065857,-2.0459089279174805,2.8716959953308105,0.49944883584976196,-0.2027146816253662,1.184929370880127,0.4975518584251404,2.3216259479522705,18.447495460510254
2000,4.73683500289917,4.792819200858345,0.0008,2.15227768098439,1.5607298612594604,-2.3505172729492188,0.778975784778595,-1.7071402072906494,0.28082984685897827,-1.9310684204101562,2.798813819885254,0.5066211819648743,-0.2003690004348755,1.1837855577468872,0.5026509165763855,2.4044947624206543,20.454787254333496
2200,4.7203240394592285,4.694110848141776,0.00088,2.230966912675157,1.5764069557189941,-2.666566848754883,0.816939651966095,-1.7436714172363281,0.2536885142326355,-2.1916322708129883,3.0209107398986816,0.501981794834137,-0.1998438686132431,1.1912851333618164,0.4975427985191345,2.4215822219848633,22.489936113357544
2400,4.5187668800354,4.578971769028621,0.00096,2.192380934014794,1.603200912475586,-2.9854249954223633,0.7102550268173218,-1.7527117729187012,0.2430502027273178,-1.790513038635254,2.930813789367676,0.5028522610664368,-0.20709620416164398,1.1947139501571655,0.5005714893341064,2.392404079437256,24.567636489868164
2600,4.499886512756348,4.461796901344911,tensor(0.0010),2.066311659505687,1.6320258378982544,-3.0855188369750977,0.6687723398208618,-1.7925641536712646,0.2152872383594513,-1.9615541696548462,2.8803131580352783,0.4913890063762665,-0.17730137705802917,1.1812775135040283,0.494789183139801,2.29439640045166,26.80454421043396
2800,4.273881435394287,4.332299443134741,tensor(0.0010),2.205884458897393,1.6759647130966187,-3.182784080505371,0.6378803253173828,-1.8369431495666504,0.18899880349636078,-1.638359785079956,3.172248363494873,0.49500328302383423,-0.1744331419467926,1.1763561964035034,0.49196669459342957,2.1744890213012695,29.13252568244934
3000,4.220485210418701,4.250103756857954,tensor(0.0010),2.0596864057190705,1.6817600727081299,-3.2970237731933594,0.5926613807678223,-1.8701236248016357,0.16269579529762268,-1.997991681098938,2.771519422531128,0.508331835269928,-0.16976356506347656,1.1877599954605103,0.5033305287361145,2.1406874656677246,31.46191644668579
3200,4.146421432495117,4.160956296598459,tensor(0.0010),2.1772328084387595,1.6863629817962646,-3.44558048248291,0.5362004637718201,-1.9003440141677856,0.1417771577835083,-1.8834155797958374,2.886735439300537,0.5024284720420837,-0.193442240357399,1.1748998165130615,0.4968664050102234,2.0298423767089844,33.81747126579285
3400,3.9800026416778564,4.0335548701075465,tensor(0.0010),2.0283168390784088,1.6948091983795166,-3.485316514968872,0.5425013899803162,-1.9307188987731934,0.10566515475511551,-1.7561132907867432,2.7278757095336914,0.5050340294837952,-0.20421330630779266,1.1785825490951538,0.49781280755996704,1.913642168045044,36.17081069946289
3600,3.934370517730713,3.941079682834174,tensor(0.0010),1.9478657032986073,1.7452253103256226,-3.5086488723754883,0.4987929165363312,-1.9609873294830322,0.0639428198337555,-1.903286337852478,3.2400856018066406,0.502687931060791,-0.18574537336826324,1.2042887210845947,0.4993850290775299,1.7940505743026733,38.465070486068726
